"kata","sentimen","bobot"
"bagus","positif",1.5
"buruk","negatif",-1.5
"tidak","negasi",0.0
"sangat","booster",1.2
"sekali","booster",1.2
"biasa","netral",0.0
"bangsat","negatif",2.0
"jengkel","negatif",1.5
"keren","positif",1.5
"lancar","positif",1.8
"parah","negatif",-1.5
"lag","negatif",-1.2
"dark","negatif",-1.2
"kendala","negatif",-1.2
"makasi","positif",1.0
"terimakasih","positif",1.0
"noob","negatif",-1.5
"newbie","netral",0.0
"sampah","negatif",-1.8
"sampa","negatif",-1.8
"cacat","negatif",-1.8
"musuh","netral",0.0
"patah","negatif",-1.2
"gila","negatif",-1.5
"tolong","netral",0.0
"bug","negatif",-1.5
"hijau","positif",1.0
"merah","negatif",-1.0
"berat","negatif",-1.2
"lambat","negatif",-1.2
"kecewa","negatif",-1.8
"lose","negatif",-1.5
"emosi","negatif",-1.5
"like","positif",1.0
"suka","positif",1.2
"bangke","negatif",-2.0
"guna","positif",1.2
"lama","negatif",-1.0
"red","negatif",-1.0
"enak","positif",1.5
"masalah","negatif",-1.2
"masala","negatif",-1.2
"kasih","positif",1.0
"cape","negatif",-1.2
"adil","positif",1.2
"netral","netral",0.0
"negatif","negatif",-1.0
"positif","positif",1.0
"ganggu","negatif",-1.5
"habis","negatif",-1.0
"gajelas","negatif",-1.8
"percuma","negatif",-1.8
"report","negatif",-1.5
"ban","negatif",-1.5
"baned","negatif",-1.5
"imbang","netral",0.0
"hormat","positif",1.0
"joki","negatif",-1.5
"cupu","negatif",-1.5
"bot","negatif",-1.0
"asyik","positif",1.5
"seru","positif",1.5
"mantap","positif",1.8
"mati","negatif",-1.5
"kotor","negatif",-1.5
"rusak","negatif",-1.5
"jangan","negasi",0.0
"tetapi","negasi",0.0
"kurang","negasi",0.0
"untung","positif",2